DISTRICTS,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,YEAR
BAGALKOTE,0.0,0.8,4.3,32.2,75.0,68.7,46.1,48.4,57.8,26.9,1.2,0.0,2018
BELLARY,0.0,0.1,1.2,20.0,60.9,60.2,21.5,73.4,52.7,67.0,2.6,0.0,2018
BELAGAVI,0.0,0.0,5.8,35.1,89.7,164.8,279.4,162.4,92.5,39.3,11.3,6.2,2018
BENGALURU RURAL,0.0,7.9,29.3,33.8,178.0,77.4,84.1,87.0,173.3,127.2,21.6,3.5,2018
BENGALURU URBAN,0.0,3.5,47.4,24.0,196.9,71.1,66.7,95.0,158.5,86.3,16.4,5.9,2018
BIDAR,0.0,5.1,0.7,48.5,22.1,135.2,97.6,127.0,70.8,12.6,4.3,4.3,2018
CHAMARAJANAGAR,0.0,1.6,16.1,47.5,170.4,36.3,28.3,66.4,97.8,87.3,21.1,4.5,2018
CHICKBALLAPUR,0.0,8.2,48.0,11.3,123.1,53.3,23.9,29.0,87.8,51.1,7.0,3.8,2018
CHIKKAMAGALURU,0.0,1.4,38.0,64.8,254.6,531.0,670.2,562.3,111.2,111.2,25.2,8.4,2018
CHITRADURGA,0.0,1.6,30.7,14.8,88.1,68.5,42.7,47.0,37.9,95.9,25.0,0.3,2018
DAKSHINA KANNADA,0.0,0.0,32.7,85.0,474.5,1185.6,1170.2,1096.2,81.9,262.9,43.6,16.8,2018
DAVANGERE,0.0,0.4,27.3,23.4,134.1,72.5,77.1,114.3,91.7,87.9,26.4,1.2,2018
DHARWAD,0.0,0.3,39.2,23.7,183.6,113.5,103.6,97.0,68.2,51.2,23.3,10.0,2018
GADAG,0.0,2.7,26.6,36.7,198.8,92.8,19.5,36.1,75.9,36.7,6.6,0.1,2018
HASSAN,0.0,8.1,40.9,53.1,227.2,246.9,177.0,139.4,164.5,109.0,21.8,0.9,2018
HAVERI,0.0,0.0,27.9,37.1,176.9,101.9,91.3,101.4,61.1,108.0,20.2,0.6,2018
KALABURGI,0.0,3.1,0.5,42.8,43.8,136.5,67.8,103.6,77.9,40.9,2.9,10.9,2018
KODAGU,0.0,1.9,57.2,83.4,319.6,909.6,1190.1,1217.5,138.6,174.8,13.9,8.2,2018
KOLAR,0.0,4.9,51.7,21.9,134.5,42.9,42.3,41.3,113.3,75.0,11.9,6.3,2018
KOPPAL,0.0,2.9,14.0,9.5,99.7,85.9,20.5,55.9,55.4,54.2,0.2,0.0,2018
MANDYA,0.0,2.8,27.0,48.3,241.8,71.6,23.4,31.9,172.7,130.4,16.6,3.5,2018
MYSURU,0.0,5.0,39.7,62.1,238.1,109.6,126.6,134.9,102.4,151.8,11.3,0.4,2018
RAICHUR,0.0,0.1,0.0,14.7,19.6,81.9,24.4,55.0,53.8,42.2,0.0,0.0,2018
RAMANAGARA,0.0,8.4,30.7,44.0,263.5,93.1,36.6,110.9,210.0,81.4,22.0,4.8,2018
SHIVAMOGGA,0.0,0.0,17.8,36.2,146.0,372.8,510.6,480.3,77.9,66.9,17.5,23.8,2018
TUMKUR,0.0,3.4,23.1,19.1,101.3,63.9,36.0,41.8,103.7,93.9,30.4,0.0,2018
UDUPI,0.0,0.0,34.1,9.7,352.4,1345.0,1211.3,1367.1,118.9,163.5,26.8,7.3,2018
UTTARA KANNADA,0.0,0.3,12.0,15.5,151.5,812.4,909.0,690.1,82.4,92.5,7.0,7.5,2018
VIJAYAPURA,0.0,3.9,1.0,31.8,68.9,75.7,30.1,62.0,73.3,22.8,11.1,0.0,2018
YADGIR,0.0,0.2,0.6,18.9,25.8,62.5,42.0,61.9,45.4,22.5,0.0,0.0,2018