MONTH,DATE,DAY,SEASON
1,1,0,WINTER
1,2,1,WINTER
1,3,2,WINTER
1,4,3,WINTER
1,5,4,WINTER
1,6,5,WINTER
1,7,6,WINTER
1,8,7,WINTER
1,9,8,WINTER
1,10,9,WINTER
1,11,10,WINTER
1,12,11,WINTER
1,13,12,WINTER
1,14,13,WINTER
1,15,14,WINTER
1,16,15,WINTER
1,17,16,WINTER
1,18,17,WINTER
1,19,18,WINTER
1,20,19,WINTER
1,21,20,WINTER
1,22,21,WINTER
1,23,22,WINTER
1,24,23,WINTER
1,25,24,WINTER
1,26,25,WINTER
1,27,26,WINTER
1,28,27,WINTER
1,29,28,WINTER
1,30,29,WINTER
1,31,30,WINTER
2,1,31,WINTER
2,2,32,WINTER
2,3,33,WINTER
2,4,34,WINTER
2,5,35,WINTER
2,6,36,WINTER
2,7,37,WINTER
2,8,38,WINTER
2,9,39,WINTER
2,10,40,WINTER
2,11,41,WINTER
2,12,42,WINTER
2,13,43,WINTER
2,14,44,WINTER
2,15,45,WINTER
2,16,46,WINTER
2,17,47,WINTER
2,18,48,WINTER
2,19,49,WINTER
2,20,50,WINTER
2,21,51,WINTER
2,22,52,WINTER
2,23,53,WINTER
2,24,54,WINTER
2,25,55,WINTER
2,26,56,WINTER
2,27,57,WINTER
2,28,58,WINTER
2,29,365,WINTER
3,1,59,SUMMER
3,2,60,SUMMER
3,3,61,SUMMER
3,4,62,SUMMER
3,5,63,SUMMER
3,6,64,SUMMER
3,7,65,SUMMER
3,8,66,SUMMER
3,9,67,SUMMER
3,10,68,SUMMER
3,11,69,SUMMER
3,12,70,SUMMER
3,13,71,SUMMER
3,14,72,SUMMER
3,15,73,SUMMER
3,16,74,SUMMER
3,17,75,SUMMER
3,18,76,SUMMER
3,19,77,SUMMER
3,20,78,SUMMER
3,21,79,SUMMER
3,22,80,SUMMER
3,23,81,SUMMER
3,24,82,SUMMER
3,25,83,SUMMER
3,26,84,SUMMER
3,27,85,SUMMER
3,28,86,SUMMER
3,29,87,SUMMER
3,30,88,SUMMER
3,31,89,SUMMER
4,1,90,SUMMER
4,2,91,SUMMER
4,3,92,SUMMER
4,4,93,SUMMER
4,5,94,SUMMER
4,6,95,SUMMER
4,7,96,SUMMER
4,8,97,SUMMER
4,9,98,SUMMER
4,10,99,SUMMER
4,11,100,SUMMER
4,12,101,SUMMER
4,13,102,SUMMER
4,14,103,SUMMER
4,15,104,SUMMER
4,16,105,SUMMER
4,17,106,SUMMER
4,18,107,SUMMER
4,19,108,SUMMER
4,20,109,SUMMER
4,21,110,SUMMER
4,22,111,SUMMER
4,23,112,SUMMER
4,24,113,SUMMER
4,25,114,SUMMER
4,26,115,SUMMER
4,27,116,SUMMER
4,28,117,SUMMER
4,29,118,SUMMER
4,30,119,SUMMER
5,1,120,SUMMER
5,2,121,SUMMER
5,3,122,SUMMER
5,4,123,SUMMER
5,5,124,SUMMER
5,6,125,SUMMER
5,7,126,SUMMER
5,8,127,SUMMER
5,9,128,SUMMER
5,10,129,SUMMER
5,11,130,SUMMER
5,12,131,SUMMER
5,13,132,SUMMER
5,14,133,SUMMER
5,15,134,SUMMER
5,16,135,SUMMER
5,17,136,SUMMER
5,18,137,SUMMER
5,19,138,SUMMER
5,20,139,SUMMER
5,21,140,SUMMER
5,22,141,SUMMER
5,23,142,SUMMER
5,24,143,SUMMER
5,25,144,SUMMER
5,26,145,SUMMER
5,27,146,SUMMER
5,28,147,SUMMER
5,29,148,SUMMER
5,30,149,SUMMER
5,31,150,SUMMER
6,1,151,SUMMER
6,2,152,SUMMER
6,3,153,SUMMER
6,4,154,SUMMER
6,5,155,SUMMER
6,6,156,SUMMER
6,7,157,SUMMER
6,8,158,SUMMER
6,9,159,SUMMER
6,10,160,SUMMER
6,11,161,SUMMER
6,12,162,SUMMER
6,13,163,SUMMER
6,14,164,SUMMER
6,15,165,SUMMER
6,16,166,SUMMER
6,17,167,SUMMER
6,18,168,SUMMER
6,19,169,SUMMER
6,20,170,SUMMER
6,21,171,SUMMER
6,22,172,SUMMER
6,23,173,SUMMER
6,24,174,SUMMER
6,25,175,SUMMER
6,26,176,SUMMER
6,27,177,SUMMER
6,28,178,SUMMER
6,29,179,SUMMER
6,30,180,SUMMER
7,1,181,MONSOON
7,2,182,MONSOON
7,3,183,MONSOON
7,4,184,MONSOON
7,5,185,MONSOON
7,6,186,MONSOON
7,7,187,MONSOON
7,8,188,MONSOON
7,9,189,MONSOON
7,10,190,MONSOON
7,11,191,MONSOON
7,12,192,MONSOON
7,13,193,MONSOON
7,14,194,MONSOON
7,15,195,MONSOON
7,16,196,MONSOON
7,17,197,MONSOON
7,18,198,MONSOON
7,19,199,MONSOON
7,20,200,MONSOON
7,21,201,MONSOON
7,22,202,MONSOON
7,23,203,MONSOON
7,24,204,MONSOON
7,25,205,MONSOON
7,26,206,MONSOON
7,27,207,MONSOON
7,28,208,MONSOON
7,29,209,MONSOON
7,30,210,MONSOON
7,31,211,MONSOON
8,1,212,MONSOON
8,2,213,MONSOON
8,3,214,MONSOON
8,4,215,MONSOON
8,5,216,MONSOON
8,6,217,MONSOON
8,7,218,MONSOON
8,8,219,MONSOON
8,9,220,MONSOON
8,10,221,MONSOON
8,11,222,MONSOON
8,12,223,MONSOON
8,13,224,MONSOON
8,14,225,MONSOON
8,15,226,MONSOON
8,16,227,MONSOON
8,17,228,MONSOON
8,18,229,MONSOON
8,19,230,MONSOON
8,20,231,MONSOON
8,21,232,MONSOON
8,22,233,MONSOON
8,23,234,MONSOON
8,24,235,MONSOON
8,25,236,MONSOON
8,26,237,MONSOON
8,27,238,MONSOON
8,28,239,MONSOON
8,29,240,MONSOON
8,30,241,MONSOON
8,31,242,MONSOON
9,1,243,MONSOON
9,2,244,MONSOON
9,3,245,MONSOON
9,4,246,MONSOON
9,5,247,MONSOON
9,6,248,MONSOON
9,7,249,MONSOON
9,8,250,MONSOON
9,9,251,MONSOON
9,10,252,MONSOON
9,11,253,MONSOON
9,12,254,MONSOON
9,13,255,MONSOON
9,14,256,MONSOON
9,15,257,MONSOON
9,16,258,MONSOON
9,17,259,MONSOON
9,18,260,MONSOON
9,19,261,MONSOON
9,20,262,MONSOON
9,21,263,MONSOON
9,22,264,MONSOON
9,23,265,MONSOON
9,24,266,MONSOON
9,25,267,MONSOON
9,26,268,MONSOON
9,27,269,MONSOON
9,28,270,MONSOON
9,29,271,MONSOON
9,30,272,MONSOON
10,1,273,WINTER
10,2,274,WINTER
10,3,275,WINTER
10,4,276,WINTER
10,5,277,WINTER
10,6,278,WINTER
10,7,279,WINTER
10,8,280,WINTER
10,9,281,WINTER
10,10,282,WINTER
10,11,283,WINTER
10,12,284,WINTER
10,13,285,WINTER
10,14,286,WINTER
10,15,287,WINTER
10,16,288,WINTER
10,17,289,WINTER
10,18,290,WINTER
10,19,291,WINTER
10,20,292,WINTER
10,21,293,WINTER
10,22,294,WINTER
10,23,295,WINTER
10,24,296,WINTER
10,25,297,WINTER
10,26,298,WINTER
10,27,299,WINTER
10,28,300,WINTER
10,29,301,WINTER
10,30,302,WINTER
10,31,303,WINTER
11,1,304,WINTER
11,2,305,WINTER
11,3,306,WINTER
11,4,307,WINTER
11,5,308,WINTER
11,6,309,WINTER
11,7,310,WINTER
11,8,311,WINTER
11,9,312,WINTER
11,10,313,WINTER
11,11,314,WINTER
11,12,315,WINTER
11,13,316,WINTER
11,14,317,WINTER
11,15,318,WINTER
11,16,319,WINTER
11,17,320,WINTER
11,18,321,WINTER
11,19,322,WINTER
11,20,323,WINTER
11,21,324,WINTER
11,22,325,WINTER
11,23,326,WINTER
11,24,327,WINTER
11,25,328,WINTER
11,26,329,WINTER
11,27,330,WINTER
11,28,331,WINTER
11,29,332,WINTER
11,30,333,WINTER
12,1,334,WINTER
12,2,335,WINTER
12,3,336,WINTER
12,4,337,WINTER
12,5,338,WINTER
12,6,339,WINTER
12,7,340,WINTER
12,8,341,WINTER
12,9,342,WINTER
12,10,343,WINTER
12,11,344,WINTER
12,12,345,WINTER
12,13,346,WINTER
12,14,347,WINTER
12,15,348,WINTER
12,16,349,WINTER
12,17,350,WINTER
12,18,351,WINTER
12,19,352,WINTER
12,20,353,WINTER
12,21,354,WINTER
12,22,355,WINTER
12,23,356,WINTER
12,24,357,WINTER
12,25,358,WINTER
12,26,359,WINTER
12,27,360,WINTER
12,28,361,WINTER
12,29,362,WINTER
12,30,363,WINTER
12,31,364,WINTER
